No.;Time;;TIME 1;TIME 2;DELAY;DELAY 1;DELAY 2;JITTER
319;4,35883;;4,35883;4,360665;0,001835;0,001835;-0,000211;-0,002046
320;4,360665;;4,360665;4,360665;0;-0,000211;-0,001723;-0,001512
321;4,360665;;4,360665;4,360876;0,000211;-0,001723;0,001934;0,003657
322;4,360876;;4,360876;4,36281;0,001934;0,001934;-0,002026;-0,00396
323;4,36281;;4,36281;4,36281;0;-0,002026;0,002026;0,004052
324;4,36281;;4,36281;4,364836;0,002026;0,002026;-0,002004;-0,00403
325;4,364836;;4,364836;4,364836;0;-0,002004;0,002004;0,004008
326;4,364836;;4,364836;4,36684;0,002004;0,002004;-0,001498;-0,003502
327;4,36684;;4,36684;4,36684;0;-0,001498;0,001498;0,002996
328;4,36684;;4,36684;4,368338;0,001498;0,001498;-0,002026;-0,003524
329;4,368338;;4,368338;4,368338;0;-0,002026;0,002026;0,004052
330;4,368338;;4,368338;4,370364;0,002026;0,002026;-0,000264;-0,00229
331;4,370364;;4,370364;4,370364;0;-0,000264;-0,001436;-0,001172
332;4,370364;;4,370364;4,370628;0,000264;-0,001436;0,0017;0,003136
333;4,370628;;4,370628;4,372328;0,0017;0,0017;-0,002245;-0,003945
334;4,372328;;4,372328;4,372328;0;-0,002245;0,002245;0,00449
335;4,372328;;4,372328;4,374573;0,002245;0,002245;0;-0,002245
336;4,374573;;4,374573;4,374573;0;0;-0,001787;-0,001787
337;4,374573;;4,374573;4,374573;0;-0,001787;0,001787;0,003574
338;4,374573;;4,374573;4,37636;0,001787;0,001787;-0,002168;-0,003955
339;4,37636;;4,37636;4,37636;0;-0,002168;0,002168;0,004336
340;4,37636;;4,37636;4,378528;0,002168;0,002168;-0,000236;-0,002404
341;4,378528;;4,378528;4,378528;0;-0,000236;-0,001735;-0,001499
342;4,378528;;4,378528;4,378764;0,000236;-0,001735;0,001971;0,003706
343;4,378764;;4,378764;4,380735;0,001971;0,001971;-0,002138;-0,004109
344;4,380735;;4,380735;4,380735;0;-0,002138;0,002138;0,004276
345;4,380735;;4,380735;4,382873;0,002138;0,002138;-0,003128;-0,005266
346;4,382873;;4,382873;4,382873;0;-0,003128;0,003128;0,006256
347;4,382873;;4,382873;4,386001;0,003128;0,003128;0;-0,003128
348;4,386001;;4,386001;4,386001;0;0;0;0
349;4,386001;;4,386001;4,386001;0;0;0;0
350;4,386001;;4,386001;4,386001;0;0;0;0
351;4,386001;;4,386001;4,386001;0;0;0;0
352;4,386001;;4,386001;4,386001;0;0;-0,000131;-0,000131
353;4,386001;;4,386001;4,386001;0;-0,000131;-0,000343;-0,000212
354;4,386001;;4,386001;4,386132;0,000131;-0,000343;0,000257;0,0006
355;4,386132;;4,386132;4,386606;0,000474;0,000257;0,000217;-4,00E-05
356;4,386606;;4,386606;4,386823;0,000217;0,000217;0;-0,000217
357;4,386823;;4,386823;4,386823;0;0;0;0
358;4,386823;;4,386823;4,386823;0;0;0;0
